author,career_length,paper_year
Peter Shirley,27,15
Susanne Boll,18,12
jose principe,37,22
Olivier Cappé,23,14
Christian Becker,22,13
Imran Ali Khan,36,24
Raja Sengupta,22,4
Piet Van Mieghem,26,14
Michael Erdmann,17,4
Rolf Niedermeier,22,14
Rob Edwards,19,13
Judit Bar-Ilan,26,19
Holger Giese,20,15
Efstathios Stamatatos,18,13
Stefan Leue,22,9
Jean-Pierre Briot,36,8
Robbert van Renesse,30,12
Andrew V. Goldberg,30,4
Jin Chang,10,10
Larry Birnbaum,36,4
Jack M. Loomis,42,20
Pierre E. Dupont,26,6
Georg Gottlob,31,29
Ted Herman,31,21
Shlomo Zilberstein,23,11
James Kuffner,19,7
Luca Abeni,16,0
Yonatan Aumann,23,9
James H. Cross II,26,2
Vincent J. Zimmer,14,4
Mateo Valero,33,13
Adrienne Porter Felt,8,5
Horst Simon,32,9
Andrew Teoh Beng Jin,13,3
Howard Bowman,24,16
James Foley,47,47
Bonnie E. John,28,11
Raphael Yuster,22,3
Kwong Sak Leung,27,13
Tushar Chandra,19,17
Rusins Freivalds,50,33
Chris North,19,5
Dick Epema,31,22
Gwo-dong Chen,36,29
Dimitris N. Metaxas,24,0
Ernie Hill,40,33
Donald J Patterson,13,3
Michael Antolovich,25,13
Liam J. Bannon,32,10
Rui Xu,10,3
Massimiliano Pontil,16,2
Koustuv Dasgupta,13,1
Dan Zhang,34,29
Jayanta K. Ghosh,46,13
John Domingue,29,22
Hung Son Nguyen,41,22
Xianjun Dong, PhD,6,4
Srinivas Aluru,22,17
Bryan Carpenter,46,33
Xiaojun Cao,22,10
Gustavo Rossi,21,3
Hermann Kopetz,44,42
Dov Greenbaum JD PhD,12,2
ChengXiang Zhai,18,5
Alexander J Hartemink,17,8
Abraham Bernstein,27,12
Josef van Genabith,24,21
David Sands,27,12
Mihai Pop,19,14
Paul Debevec,18,2
Ivan Selesnick,22,13
Xiao Han,12,6
John D. Lee,24,15
Michael Ben-Or,32,7
Mandar Mitra,19,2
jorge nocedal,36,28
Ivan Laptev,17,8
Janet B. Pierrehumbert,35,1
Varun Chandola,14,10
Grzegorz Kasprowicz,10,8
Spiros Mancoridis,21,6
Aron Culotta,11,1
Pascal Mueller,11,0
Ferdinando Mussa-Ivaldi,34,14
Nathan Binkert,13,6
Xiaoming Li,34,28
Peter Ingwersen,34,12
Eddie Kohler,17,3
Yuguang Fang,21,9
Gert Lanckriet,13,3
Srihari Nelakuditi,15,3
David Pollock,20,3
Rafail Ostrovsky,31,23
Jianguo Zhang,13,6
Lenore D. Zuck,29,0
Thierry Pun,33,18
Brahim Medjahed,14,3
Bill Barrett,38,19
Michael Inouye,8,1
Darius Burschka,19,8
Najim Dehak,8,5
Ümit V. Çatalyürek,19,4
Arun Ross,16,6
Wolf Siberski,16,6
Steven Bellovin,28,17
Kar Yan Tam,25,12
Tim Menzies,26,18
Kirk Lohmueller,12,1
Hongtao Lu,19,7
Philip Wadler,38,12
Robert France,34,27
NC. Sheffield,5,4
Leif Kobbelt,20,4
Jacob O. Wobbrock,15,10
Giorgio Colombo,35,23
Giorgio De Michelis,37,22
Robert J. Webster III,12,4
Bill Horne,25,5
Christine Piatko,23,11
Zhilin Wu,37,31
Robert C. Qiu,20,11
Christina Leslie,13,1
Valter Crescenzi,15,3
Marcus Frean,24,0
Gary Bader,14,2
Lihong Li (李力鸿),35,31
Yong Liu,13,6
Jon Sorenson,20,15
Helen M. Berman,47,33
Alfonso Tarancon Lafita,28,15
Ron Shamir,31,16
George J. Pappas,22,6
H* Greenspan,24,13
Steven P. Levitan,33,8
Shigeo Abe,39,35
David Millard,17,6
Carl Staelin,25,8
Yi-Chia Wang,10,4
Ashish Tiwari,17,3
Ales Leonardis,24,15
Grigore Rosu,20,13
Dennis Schieferdecker,7,5
Mei Han,28,18
Jindan Zhou,33,24
Giuseppe Longo,31,20
Ehud Ahissar,24,2
Shay Kutten,30,9
Giuseppe Buttazzo,37,12
Edgar Chavez,17,4
Fei Wang,9,3
Cieplak Piotr,32,19
Seung-Jean Kim,20,13
Henk Muller,26,14
Eyal Ofek,17,13
Min Wu ( 吴旻 ),15,3
Roberto Todeschini,37,23
Harith Alani, BSc, MSc, PhD,14,3
