author,career_length,paper_year
Arkady Zaslavsky,20,11
Pedro G. Ferreira,10,8
Dah Ming Chiu,34,4
Naveen Muralimanohar,9,4
Kenneth C. Smith,49,34
Tom Melham,28,8
Robert M Davison,37,31
James Coughlan,20,3
Rik Pintelon,32,29
Pavel Pevzner,28,16
Jian-Yun Nie,26,14
Douglas Schmidt,32,24
Habib Zaidi,19,7
Dr Paul Rayson,21,8
W. Paul Cockshott,33,2
Vahab Mirrokni,14,4
Fiona Polack,22,16
Janne Heikkilä,18,1
Robert, Ching-Hsien Hsu,37,29
MR Meybodi,32,22
Andre Schiper,30,7
George Buchanan,14,0
Arie van Deursen,23,9
Franz Wotawa,19,4
Ross Mitchell,23,14
Shane Neph,8,1
Sep Kamvar,11,1
Lawrence Paulson,33,21
Thomas Martinetz,26,5
Ana LN Fred,26,17
Carl Gutwin,25,13
Hsuan-Cheng Huang,21,9
Paolo Provero,23,0
Deborah Tatar,26,0
Bernhard Preim,20,8
Jong-Deok Choi,27,15
Keiji Nagatani,21,8
Feifan Liu,32,12
Ganesan Ramalingam,26,8
samir khuller,26,10
Kurt Maly,40,32
Lluis Marquez,19,10
Andrew McCallum,22,9
Jessica Staddon,16,12
Moshe Levy,20,6
Xiuzhen Cheng,25,16
Jérôme Feret,13,3
Peng Zhang,29,25
James H. Martin,28,15
Verena Kaynig,6,5
Tod Sizer, Theodore Sizer, Theodore Sizer II, T. Sizer, T. Sizer II, II Theodore Sizer,30,16
Charles Wampler,30,21
Steven N. Minton,28,9
Qian Kemao,16,10
Axel Pinz,24,2
James Kurose,33,25
Alan Hoffman,56,34
Dovi Poznanski,12,7
Raymond K. Auerbach,7,5
Nan Lin,48,37
Mona Diab,17,7
Bhaskaran Raman,15,7
Heikki Kalviainen,24,5
Piyush Gupta,15,3
Helger Lipmaa,17,7
Zongpeng Li,22,15
Peter Slater,42,26
William Harwin,27,17
Eduardo Mena,20,6
Bernd Girod,33,24
Fabrice Heitz,26,6
Philip M. Kim,14,10
Yufei Yuan,31,12
David Meaney,25,17
Wing-Kin Sung,21,14
Michel Klein,14,0
Pierre-Yves Oudeyer,15,8
Russell H. Taylor,40,10
Chaoping XING,23,10
Yih-Chun Hu,23,7
Mark Dredze,11,4
Claude Castelluccia,20,11
Yu-Chee Tseng,23,11
Ricardo A Fonseca,26,19
Jarke J. van Wijk,31,8
Ioannis Stamelos,19,8
Carole Goble,24,16
Christopher Meek,20,7
Ignacio Rojas,30,20
Lingai LUO,25,18
Letha Etzkorn,20,13
Jean-Pierre Hubaux,23,10
Jonathan Arnold,34,7
Jacques A. de Guise,33,12
Luis Rodrigues,31,18
Luca Iocchi,18,8
Tien-Fu Chen,26,8
Philip M. Parker,28,10
Ram M. Narayanan,28,12
Bill Punch,28,14
Barry Van Veen,32,7
Jessica Lin,12,1
Peter MG Apers,36,15
Oded Maler,28,12
Judea Pearl,43,24
Ryuji Wakikawa,15,6
Candace Sidner,36,8
Remzi Arpaci-Dusseau,32,13
Sebastian Elbaum,16,7
Wanquan Liu,,31,12
Edwin KP Chong,24,23
Catherine Grasso,14,0
Ken Fishkin,16,1
Robert B. Ross,18,4
James Philbin,5,1
Steven Parker,16,11
Laura Marie FEENEY,17,4
Geoffrey Li,26,16
Weixiong Zhang,34,28
Anders Mørch,26,3
William Thies,13,1
KK Ramakrishnan,29,15
A. Graesser,39,22
HyunWook Park,34,20
Sylvain Paris,11,6
Marco Mellia,22,15
Torsten Braun,24,14
Isabelle Puaut,22,16
Susan Fussell,26,2
Davide Sangiorgi,26,15
Hong Ren Wu,24,12
Scott Shenker,35,22
Ivan Stojmenovic,28,15
Alan J. Hu,27,6
Antonio Pescapè,13,6
Leslie Ann Goldberg,22,17
James C Phillips,21,12
Bjarni V. Halldorsson,14,8
Nick Yee,15,7
Frances Pearl,15,6
Robert Jacobs,26,3
Roger Perkins,22,14
Toshiaki Fujii,35,30
christos papadimitriou,47,31
hamish cunningham,19,7
Manuel Costa,18,11
Michael Ferris,41,24
Lin Lin,29,21
Guo-Zheng Li,30,20
Barbara Minsker,18,13
Dr. Natalio Krasnogor,19,10
Jinxiang Chai,15,4
Bart Kienhuis,18,2
Willem Visser,21,10
Marco Schaerf,25,18
Komorowski Jan,40,33
David W. Aha,27,4
Paul Verschure,23,13
Zhihua Zhang,36,24
Mihai Surdeanu,14,0
Philippe Bonnet,18,5
Stuart K. Card,44,14
Mark P. Miller,17,0
James Bobrow,32,3
David Murray,34,28
Yehuda Koren,12,8
Vera Sazonova,13,5
Jonathan P. Bowen,32,13
Claudio Mendoza,33,13
Panayiotis Tsaparas,17,10
George Lauder,36,5
Kostas Diamantaras,23,6
Robert Glück,24,7
K Boyer,30,3
Masoud Mohseni,11,5
Colin Mayfield,39,22
Gustavo Kunde Rohde,16,5
Anders Møller,16,5
Chiara Petrioli,17,8
Shi-Min Hu,26,23
Andrea Esuli,12,4
Pete Manolios,20,6
Paulo Pinheiro,14,3
QM Jonathan Wu,35,33
Hans-Dieter Ehrich,40,27
Xiaobo Tan,17,7
mike davies,22,17
Teresa Przytycka,27,2
Tony Rodriguez,13,3
Sandeep K. Shukla,20,13
Michalis Vazirgiannis,23,11
Javier Plaza Miguel,33,24
George Biros,18,8
Steven I. Marcus,40,19
Michelle Girvan,13,1
Haining Wang,33,20
Dan Brickley,15,7
Peer Bork,25,12
Benjamin Watson,22,14
Terrence L. Fine,47,14
Mats Heimdahl,23,3
Mukesh Singhal,30,8
Doron Lipson,15,2
Joseph Mitchell,37,21
Irfan Essa,24,13
Luiz Henrique de Figueiredo,23,7
Martin Weigt,23,9
Hengchang Liu,33,25
Gianfranco Ciardo,29,5
Xiaowei Yang,34,28
Howie Choset,25,16
Han WANG,38,26
Henry A. Rowley,22,7
WK Ng,21,6
Ariel Shamir,17,10
Alejandro R Diaz,33,11
Sameer Agarwal,13,1
hector garcia-molina,37,26
Weiqun Peng,16,11
Amos Bairoch,32,23
Simon Brewer,16,5
Jun Luo,12,2
Feng Jing,9,5
Mohammad Mahdian,16,11
Botao Hu,32,26
Colin Runciman,34,20
James Bieman,30,11
Jie Li,21,7
Vijay Kumar,41,29
Uwe Schöning,32,13
Naoki Kobayashi,23,8
Julio Ortega,23,13
James Noble,27,11
Antonis Kokossis,25,9
Bor-rong Chen,11,1
Xiaoli Li (李晓黎),29,18
Daniel DeMenthon,27,9
Ender Özcan,18,3
Beng Chin Ooi,27,14
Shaoying Liu,34,23
Antanas Zilinskas,40,14
Todd Scheetz,19,9
David Reinkensmeyer,27,13
Zhe Chen,34,23
Changbong Hyeon,17,8
Amos Fiat,29,3
Alok Choudhary,28,7
Jacob Goldberger,15,6
Martin Ester,19,2
Riccardo Focardi,21,2
David Tax,26,17
Akinori Sarai,29,10
Ian Sommerville,31,16
Vassilis Athitsos,18,4
Silvio Micali,34,4
Rajeev Barua,20,3
Michael Zibulevsky,21,9
Andrew Kusiak,31,7
Maria Fox,21,10
Guus Schreiber,27,17
Luis Martínez,18,4
Mihaela Zavolan,13,6
Prashant Shenoy,20,13
Younghwa Gabe Lee,12,3
Michele Caselle,33,29
Yanpei Chen,38,21
Osmar Zaiane,19,3
Enrico Rukzio,20,12
Ryan M. Rifkin,12,4
Gábor Balázsi,14,3
Jean-Baptiste Cazier,17,9
Patrick Haffner,24,9
Mohsin Saleet Jafri,22,7
Gaurav Sharma,34,25
JUAN JOSE VAQUERO,23,6
Lena Gorelick,10,1
G. Harry van Lenthe,20,6
junlin zhang,31,12
Olivier Chapelle,16,8
Jussi Karlgren,23,4
Claudio Pinhanez,21,3
Daniel D. Gajski,36,15
Federica Legger,11,9
Kal Jarvelin,33,21
Lane A. Hemaspaandra (premarriage name: Hemachandra),32,6
Florent Krzakala,14,7
Jonathan Freeman,22,9
Charless Fowlkes,15,2
Michael Hinze,23,13
Winston Hsu,35,27
James Patton,27,10
David Lorge Parnas,46,6
Yunbo Cao,35,26
Alfonso Valencia,28,21
Xiaoou Li,33,14
Dieter Fox,23,14
Yong Liu,36,28
James Coughlan,20,3
Michael Sharpe,24,9
Jacques Periaux,40,26
Alessandro Forin,27,3
Thomas Leung,19,4
Cormac Sreenan,21,7
Isabel F. Cruz,27,0
Stefano Soatto,22,12
Matthias Krauledat,5,3
Amaury Lendasse,16,12
Cheng Huang,10,4
Qian Wang,8,5
David Wentzlaff,11,1
Uirá Kulesza,14,6
Maurizio Falcone,32,4
Tie-Yan Liu,35,28
Patrik Hoyer,15,6
Jingdan Zhang,36,28
Giovanni (Gianni) Ramponi,28,15
Benjamin Livshits,11,2
Brad Chen,37,33
Thomas Jansen,16,4
Xifeng Yan,36,23
Michael Schulte,22,1
Fabrice Rossi,20,8
John Collins,20,10
Soumya Raychaudhuri,19,14
Jun Wang,33,26
Chin-Hsiung Loh,34,21
Richard Cyganiak,12,5
Lujo Bauer,13,4
Ying Tan,27,16
David Grove,20,6
Paul R Yarnold, Ph.D.,32,13
Fiona Fui-Hoon Nah,16,3
Robin Cooper,44,11
Svetlana Lazebnik,13,5
Alan Bovik,32,22
Svetlana Lazebnik,13,5
Michael Rohs,20,12
Giovanni Rimassa,13,2
Stefano Breschi,18,5
Rolf Neugebauer,9,4
Vikram Srinivasan,25,14
Wolfgang Banzhaf,26,11
Heitor Lopes,25,13
Marcelo Bertalmío,16,2
Michele Mosca,17,1
Mooly Sagiv,26,13
Jiwoon Jeon,6,0
Michael Branicky,24,12
Marc Schoenauer,24,7
Ioannis Rekleitis,19,6
Yuliang Zheng,25,9
Richard B. Rood,31,12
Lujo Bauer,13,4
Richard Han,23,15
Martin Shepperd,26,9
Chang Su Lee,37,28
Jeremy Ginsberg,9,0
Yi Yang,35,30
Christopher D Manning,22,7
Sunghun Kim,19,12
Huan Liu,38,20
Yi Zhang,37,17
Ｑian Chen,38,26
Habin Lee,38,25
Robert Loce,29,12
Srikanth Kandula,12,7
Yanghai Tsin,13,2
Jitendra Padhye,19,3
Damian B. van Rossum,15,1
Hiroshi ISHII,25,8
wisama khalil,37,28
Norman Badler,39,18
Uzay Kaymak,19,5
Jwu-Sheng Hu,34,12
Yan V Sun,16,13
Simson Garfinkel,28,17
Ruth Nussinov,36,24
Nikolaos Papanikolopoulos,26,14
Yunhua Hu,35,28
Alexander Pretschner,15,4
Miguel-Angel Sicilia,19,2
Georg Lausen,32,14
Alex Aiken,28,14
Pekka Abrahamsson,15,3
Ugo Bastolla,18,7
Fernando De la Torre,17,6
Paul Hudak,32,7
Zoran Popovic,21,10
Seif Haridi,34,24
Paul A Fearn,13,7
Mahadev Satyanarayanan,39,27
Philippe Lemey,14,10
Wei Chu,13,9
Gail Carpenter,38,13
Francisco Barahona,34,2
Lazaros Merakos,31,22
Jim Hendler,36,23
Christine Decaestecker,26,17
Oliver Deussen,19,3
Michael L. Littman,25,7
Dario Floreano,25,12
Azlan Hussain,31,16
Ken Takeuchi,18,4
Sabato D'Auria,25,13
Volker Markl,16,3
Fakhri Karray,26,16
Peter Clark,29,4
Peter Dadam,35,19
Simeon Keates,17,7
Daniel Marcus,12,10
Henry M. Levy ,33,15
Raquel Cardoso de Melo-Minardi,10,6
DR. KRISHAN KUMAR,50,26
Kevin B Korb,23,12
Peng-Yeng Yin,22,12
Rob Beiko,12,3
Gerald G. Brown,42,24
George Pavlou,24,11
Riccardo Zecchina,22,10
John Rust,41,26
bart demoen,37,10
Hongbin Zha,26,20
Marco Ajmone Marsan,37,7
Yongdae Kim,19,5
Andreas Gerstlauer,15,2
svoboda k and svoboda karel,23,2
Hans-Joachim Wunderlich,30,16
chao wu,35,15
Agostinho C da Rosa,25,13
Yasutaka Furukawa,11,7
Baoxin Li,27,23
Ming Lin,30,12
Henrik Hautop Lund,20,1
Ara Nefian,18,10
Can Wang,33,30
Duncan Rowland,18,3
Yuanchao Ma,35,25
Xin Li,33,32
Nizar Habash,16,7
Holger Boche,20,10
Min Chen,23,20
James G. Phillips,28,15
Domenico Prattichizzo,20,3
Antal van den Bosch,23,19
Chandrika Kamath,30,20
Rino Falcone,26,10
Chris Hankin,33,18
Kevin Curran,28,24
Mark Steyvers,19,8
Geoff McLachlan,43,28
Thomas Hou,30,17
Andrew Zisserman,29,18
Fumio Harashima,40,23
Philip D. Gray,36,23
Stephen Fink,19,6
Hamideh Afsarmanesh,29,20
Francois-Xavier Standaert,12,7
noriko kando,23,17
Frank Zhigang Wang,31,21
Wu Feng,25,12
Ahmed Bouridane,26,18
Richard Gass,5,2
Yu Chen,36,26
Vincent Blondel,24,18
Robert Leland,17,7
N Xue,14,5
Nalini Venkatasubramanian,22,10
Dit-Yan Yeung,28,19
Samee U. Khan 恩山明,13,10
Mohammed J. Zaki,27,14
Mayur Naik,15,6
Antonio J. Nebro,19,16
Rui-Min Shen,25,20
Reed A. Cartwright,9,6
Yuri Ledyaev,33,17
Martha Stone Palmer,33,13
Mosharaf Chowdhury,7,3
Timothy Sherwood,16,4
Samarjit Chakraborty,16,2
Feng-Li Lian,18,6
Risto Miikkulainen,27,15
Sofiene Tahar,21,6
Fabio Gonzalez,30,17
Gualtiero Volpe,15,4
Bill Schilit,32,13
Jens Patrick Linge,17,6
Rajendra V. Boppana,24,13
Wenchao Zhang,34,25
Jing Sun,35,33
MohammadTaghi Hajiaghayi,14,10
Benjamin CM Fung,12,8
Haitham Akkary,19,3
Meir Feder,41,15
Peter Christen,18,7
Hans van Vliet,23,2
Akio Kitao,22,9
Huaxiong Li,36,28
Yu Sun,18,10
Alexander Dobin,18,16
Schahram Dustdar,19,12
Adam Ameur,12,5
Dave Cliff,22,2
Dharmendra Modha,21,8
Mary Shaw,46,29
Sariel Har-Peled,19,7
Wai-xi Liu,36,34
Paolo Ferragina,22,13
Paul B. Kantor,38,14
Milo MK Martin,18,9
Margrit Betke,22,5
Terran Lane,18,3
François Pachet,25,14
Alander J*,29,8
Uday Reddy,31,3
Jane Hillston,22,14
Reynold Cheng,33,22
Merlet Jean-Pierre,32,19
Josep LLuis Arcos,24,11
Pedro Felzenszwalb,16,6
François Yvon,24,20
Hen-I Yang,37,32
chunqing chen,39,34
M Sasha John,15,6
Hubertus Franke,25,14
Yih-Farn Robin Chen,29,13
Eyke Hüllermeier,19,2
Paul Newman,36,23
George E. Dahl,7,5
Michael Twidale,24,8
Orr Dunkelman,15,10
Ling Liu,31,21
martin vetterli,31,12
Andrea Baraldi,25,6
Wangyuan Zhang,33,28
David Scott Warren,35,18
Laxmikant Kale,31,22
Colin Mayfield,39,22
Daphna Weinshall,27,19
Boris Motik,16,10
Qun Li,17,4
Amitabh Varshney,21,4
Andries Engelbrecht,21,14
teresa ludermir,24,10
Stefan Mangold,16,4
James W. Davis,43,31
Heng Yin,13,6
Carlos A. Coello Coello,28,16
Rick Chartrand,12,5
Michael S. Rosenberg,16,3
李宗夷 (Tzong-Yi Lee),43,33
Crina Grosan,18,11
Petros Drineas,15,6
Xuemin Lin,35,27
Zohar Yakhini,18,4
Alejandro Schaffer,29,12
JF Traub,55,24
Alejandro Schaffer,29,12
Timothy C. Germann,23,15
Jean-Francois Aujol,12,4
Nico Karssemeijer,28,10
Fuchiang (Rich) Tsui, PhD,34,24
Jeffrey Heer,13,4
Ann Nicholson,26,16
Jaap Haitsma,12,3
John A. Lee,14,7
Debasish Ghose,26,8
Steve Keckler,22,10
Alexander Statnikov,14,5
Rita Cucchiara,24,13
Kostas Daniilidis,24,3
Diomidis Spinellis,24,15
Dimitrios Georgakopoulos,28,9
Tiziana Catarci,25,9
Nikos Komodakis,17,11
Fumio Harashima,40,23
Milind Tambe,30,12
Dan Roth,22,12
Atro Voutilainen,22,5
Parosh Abdulla,24,6
Anugrah Kumar,42,38
Stefano Lucidi,30,2
Robert Dale,26,13
Istvan Csabai,24,10
Kaizhong Zhang,27,2
Guoying Zhao,10,3
Demis Hassabis,6,0
Thomas Goldstein,8,3
asperti,28,4
Ilya Muchnik,48,36
Harry Buhrman,25,12
Alun Preece,25,11
Manuel DAVY,15,8
Xiaoxiao Ma,34,20
Marie-Christine Rousset,31,15
Hongbin Zha,26,20
Koichi Hashimoto,24,4
Juan Pavón,27,15
K. van Hee,38,28
Ibrahim Kamel,21,1
Shrikanth (Shri) Narayanan,22,12
Radhia Cousot,38,1
Kartik Gopalan,16,7
Thorsten Joachims,19,3
Cheng Li,13,4
Leonid Sigal,14,4
Richard Neapolitan,41,31
Brian Gaines,49,10
Patrick McDaniel,26,26
Edward Cutrell,14,3
Edward Cutrell,14,3
Lihua Feng,35,33
Darren De Zeeuw,22,8
Rayid Ghani,13,0
John Derrick,20,7
Vaclav Snasel,20,15
Matthias Blumrich,20,2
Lumin Zhang,33,25
Teddy Seidenfeld,39,18
Linda Shapiro,39,17
Poul Nielsen,28,17
Yiorgos Chrysanthou,22,11
RG Stockwell,15,0
Danny Dolev,36,5
Wen-Lian Hsu,35,4
Richard Frayne,22,4
Volker Tresp,25,15
Thomas L. Griffiths,14,4
Xiaoyan Sun,25,17
Sheelagh Carpendale,20,10
Sandro Ridella,45,18
Angappa Gunasekaran,26,13
Noam Nisan,26,19
Johan Lukkien,27,20
Mark de Berg,25,19
Fred Douglis,27,1
Suresh Jagannathan,27,11
Charlotte F. Fischer,46,9
Nuno Neves,21,10
Ted Briscoe,29,8
Xin Tong,16,2
Eytan Domany,42,28
Fosca Giannotti,29,22
Xinwen Zhang,30,29
Siu-Ming Yiu,20,15
Ewan Klein,39,10
Ralf Möller,26,13
Paul Dourish,23,1
Antonio Plaza,16,11
Andras Frank,38,17
Shmuel Friedland,44,19
Meng-Sung Wu,31,17
Diana L Kolbe,12,0
Jim Herbsleb,35,23
Mor Naaman,12,4
Wolfgang Maass,40,28
Phillip Rogaway,26,5
Professor Kwang Mong Sim,33,22
Jaco van de Pol,22,9
Mohammed Atiquzzaman,28,18
Grégoire Sutre,17,5
Jiayi Zhou,35,13
Vijayalakshmi Atluri,22,7
Kai Li,36,24
Jonathan Turner,31,26
Thore Graepel,17,2
Li-Wei Hung,18,14
George Drettakis,24,12
Frank Ruskey,37,28
Jing Huang,37,20
Jordi Cortadella,26,9
Christopher Leckie,26,19
Gary Marsden,17,9
Joseph Leung,38,5
Tandy Warnow,24,20
Andrea Bonarini,23,5
Pierre Dillenbourg,25,10
Paul Lewis,27,16
Flemming Nielson,33,18
Romit Roy Choudhury,13,1
leonid gurvits,28,14
Francois E. Cellier,40,16
Richard F. Lyon,41,15
Anne Deslattes Mays,19,6
Min-Jea Tahk,28,18
Adam Finkelstein,21,2
Andrew Burton-Jones,15,7
R Ravi,28,9
Jinchi Lu, Ph.D., PE,33,29
Paul Fishwick,30,11
Donald Beaver,25,3
David Suter,27,20
Jochen Renz,5,3
Khawar Hasham Ahmad,7,6
Chan-Byoung Chae,14,7
Jenq-Neng Hwang,28,16
Mohammad S. Obaidat,26,9
Dmitri Loguinov,20,8
Marcos J Arauzo-Bravo,19,12
CS George Lee,42,14
Yogesh Simmhan,13,4
Jeff Mogul,30,15
Frances Brazier,21,4
Chris Peikert,13,7
Kai-Wei Chang,6,0
Vladimir A. Kuznetsov,40,32
Vijay Raghavan,37,18
Luca Aceto,27,12
Martine Zilversmit,12,8
Xiaokui Xiao,9,1
Mostafa Kaveh,41,12
Stan Sclaroff,24,6
Derong Liu,21,17
Federico Calzolari,8,8
Paul Schrater,20,8
Allen Tannenbaum,37,16
Yang Yang,35,14
Jian S Dai,31,16
Lei Chen,35,18
Andrzej Kloczkowski,36,23
Ron Thompson,28,10
Pierre Zweigenbaum,25,18
Dr. jagadeesh kumar KRISHNAMURTHY,40,23
Marc Pollefeys,19,4
Reza Olfati-Saber,14,6
Oliver Lemon,18,7
Roman Slowinski,38,18
Yangmin Li,17,12
Lee C Potter,27,23
Conor Heneghan,21,10
Ashraf Aboulnaga,15,0
Ruay-Shiung Chang,26,11
Xiaolong Wang(王晓龙),27,17
Kay Prüfer,9,5
John Illingworth,30,5
franca garzotto,27,6
Jian Yang,13,3
Michael Cookson,22,15
Rajesh PN Rao,20,5
Alla Sheffer,18,5
John M. Abowd,36,22
Yun-Qing Shi,34,26
Paolo Nesi,25,11
Fengzhu Sun,22,10
Mira Park,33,29
Ziheng Yang,34,17
Flavio Bortolozzi,21,10
Anders Ynnerman,25,4
Ellen Riloff,23,9
Denis Trystram,32,12
Giansalvatore Mecca,21,8
Nigel Brown,22,15
Mira Han,8,0
Olivier Bousquet,15,5
Luo Si,17,5
Yuesheng Xu,29,21
Hayder Radha,24,11
William Robertson,11,3
Boris Adryan,15,8
Tamas Kiss,32,14
Aleix Martinez ,16,0
Nick Duffield,29,10
Tamás Terlaky,31,14
Yongguang Zhang,30,16
Gerard Vreeswijk,21,11
Dr. Chuming Chen,20,19
Ying Guo,34,16
Mark Riedl,15,5
Wei Zhang,31,19
Ning Xu,22,2
Ronen Brafman,21,11
Robert M. Davison,22,7
Mikael Boden,22,17
Alfred Aho,51,42
Anne Condon,27,14
Nikolaos Laoutaris,13,8
Sharad Agarwal,16,4
Yeesock Kim,39,34
Paul Barford,17,1
Paul L Carson,41,17
Joachim Denzler,20,8
Jeff MacKie-Mason,27,10
SH Leung,34,20
Peter Turney,30,18
Stephen Marsh,22,2
Gene Cooperman,37,26
Robert Pless,22,11
David Haussler,34,21
François Fages,31,11
Roberto Navigli,12,7
Alessandro Saffiotti,27,10
Joel R. Reidenberg,30,13
Leonard McMillan,27,8
VT Rajan,38,9
ChangKyoo Yoo,14,4
Dan Henningson,29,15
Ralph R. Martin,34,17
BLS Prakasa Rao,48,14
Svante Gunnarsson,28,12
Zhang Yu,36,28
Jiangchuan Liu,13,4
Rajiv Sabherwal,33,21
Ramin Homayouni,21,6
carlos Canudas de Wit,28,8
Zhenhai Duan,34,23
Vincent Schachter,14,6
Yogesh K. Dwivedi,11,6
J.-F. Paris,32,17
Zhi-Hua Zhou,17,11
K. Khorasani,30,3
Wendy A. Kellogg,32,18
Aedin Culhane,18,0
Alain de Cheveigne',25,13
Ming Lin,25,7
Lei Yu,10,3
John E. Stone,19,13
J. Biela,14,7
Sang-Min Park,34,19
Mikael Sjödin,19,5
pradeep k. khosla,27,8
peng zk,13,2
Shuang-Hua Yang,35,29
P.-A. Absil,16,10
Kevin Hoffman,13,5
David Xianfeng Gu,33,21
Gaurav Sharma,34,25
Anirban Dasgupta,12,6
Boon-Lock Yeo,18,4
David Marshall,40,23
Manish Parashar,23,12
Paul Clemons,15,7
Guanghui Wang,36,20
KJ Ray Liu,26,10
Luis Almeida,15,5
Bruno Levy,16,5
Dana Angluin,37,12
Francesco Ricci,24,21
Chris T. Kiranoudis,23,18
Ming Cao,12,8
Mohan Kankanhalli,26,9
Alvis Brazma,23,10
Giovanni De Micheli,34,22
Peter W Foltz,26,10
Bostjan Kobe,23,3
Emmanuel Barillot,23,17
Mark Keane,28,20
Chrisanthi Avgerou,26,15
Reinaldo Martinez Palhares,19,6
Anna Scaglione,18,6
Jorge Sepulcre,9,4
Maung Sein,30,6
Roger B. Marks,26,16
Jeff Magee,33,18
Nobuko Yoshida,28,21
Chia-Feng Juang,17,1
James R. Curran,15,4
Yeon-Mo Yang,32,20
Bruno Dutertre,23,15
Glenn Reinman,16,1
Karol Myszkowski,20,16
Woobin Lee,39,14
BS Manjunath,24,6
Ronald Kaplan,42,25
Carsten Lutz,17,9
Frank Wolter,23,12
Hideharu Amano,31,10
William Philip Kegelmeyer,20,19
Zhang YANG,34,29
Quaid Morris,19,14
Giulio Pavesi,15,7
Ananth Grama,32,12
Ian Soboroff,16,12
Enno van der Velde,32,30
Mario Medvedovic,17,3
Johan Bollen,18,15
Guido Gerig,30,22
Amit Sheth,30,6
Leonid Makar-Limanov,39,28
Stefano Stramigioli,21,8
Slobodan Vucetic,15,7
JJ Liang (梁静),10,2
Ed Seidel,24,14
Aristides Gionis,19,4
Valerie Shute,32,25
Rosario Pugliese,19,3
Vijay Kumar,31,11
Ajith Abraham,19,13
Miles Osborne,21,13
Hossam S. Hassanein,25,17
Binoy Ravindran,20,12
Terence Sim,15,5
Abd Rahman Ramli,23,13
Francesca Demichelis,15,11
Mats Rooth,29,4
Gianluca Setti,20,3
Gianluca Setti,20,3
Aram Galstyan,17,7
Jayesh Prasad,22,9
Jim Gemmell,21,11
Jérôme Euzenat,24,17
Vyas Sekar,11,5
John Shalf,18,10
George Karypis,21,8
Daniel Borrajo,23,5
Christopher T. Allen,32,20
Muki Haklay,17,11
Agnes Roby-Brami,33,21
Baris E. Suzek,13,4
Wonjun Lee,34,28
Sameer Antani,18,6
Marek Karpinski,40,21
Hans L. Bodlaender,30,12
Matthew Knepley,20,18
Timothy Lethbridge,27,12
Stephan Vogel,21,3
Guy Bouchitte,28,13
Cheng Zhenbo,36,34
Francisco Brasileiro,19,8
philippe jacquet,29,18
George Biros,18,8
Harrison H. Barrett,48,36
Philippe Jacquet,29,18
Janusz Starzyk,35,27
Rui-Min Shen (申瑞民),26,20
Ramachandran Ramjee,19,8
Kaj Grønbæk,26,7
Ming-Hsuan Yang,17,5
Abhishek Kumar,41,7
Ella Atkins,24,17
Vic Callaghan,32,22
Walid Najjar,28,17
Alle-Jan van der Veen,26,8
Chung-Sheng Li,22,0
Ran Tao,18,9
Marti A. Hearst,27,5
Lakmal Seneviratne,29,21
David Dill,29,9
Stéphane Dauzère-Pérès,22,14
Ioannis (Yiannis) Kompatsiaris,17,8
Ken Goldberg,32,18
Mayur Datar,13,2
Josep Domingo-Ferrer,24,12
Vineet Bafna,24,11
Greg Turk,25,5
Patrick J. Flynn,29,14
Hermann G Matthies,36,1
Stanisław Osowski,38,36
Amin Vahdat,21,7
Haibin Ling (凌海滨),16,9
Max Meng,17,3
Nuno Vasconcelos,21,14
Ina Koch,34,21
Zhenyu Wang,39,36
Daniel G Goldstein,18,0
Alan Edelman,27,11
James H. Cross II,26,2
Yiguang Hong,26,18
Jinyuan Zhou, Ph.D.,36,25
Roser Saurí,34,23
Antonio Fernández Anta,20,12
Xiaohua JIA,29,13
Laurent Viennot,19,8
Randall Berry,19,7
Wing-Kwong (Ricky) Chan,19,13
Nicholas M. Patrikalakis,32,27
Carolyn Begg,26,17
David Padua,35,7
Nikos Mamoulis,18,7
Benny Chor,30,16
Francesco Mondada,21,1
Qing Hu,22,15
Rachid Alami,30,14
Peter Johnson,34,12
Jorg Liebeherr,25,7
Dipankar Dasgupta,23,8
Mary Czerwinski,34,33
Ernest Edmonds,41,29
Qiyuan Liu,34,24
Jacek Gondzio,26,8
Jimeng Sun,12,1
Go Iwai,14,2
Charles Ofria,16,5
Shivkumar Kalyanaraman,20,9
John Stankovic,36,25
Hongwei Xi,19,5
Paul van der Stelt,33,28
Yu-Gang Jiang,8,1
Cheng-Hsuan Li,36,29
Hanne Riis Nielson,34,19
Fred G. Martin,30,14
Raimund Seidel,32,2
David R Kelley,6,4
Dinei Florencio,23,16
Peter Beckman,23,20
Jungwoo Lee,25,8
J. Ross Beveridge,27,16
Manoj BS,13,3
Stan Franklin,50,33
Peter Bartlett,24,8
Saso Dzeroski,23,3
Alex Biryukov,19,6
Matej Orešič,21,13
Mario Cagalj,10,0
Jean-Julien Aucouturier,13,2
Robert C. Edgar,11,2
Dong Xin,11,4
Vern Paxson,25,6
Simon Tong,14,3
Bin Li,30,22
Abhijit Mahalanobis,27,1
Demetrios G. Sampson,22,13
Gene Golovchinsky,20,5
Samuel Madden,14,2
Gordon Blair,32,16
Laurent Itti,19,3
Benjamin Blankertz,15,9
Hector Keun,12,5
Meredith Ringel Morris,21,16
María José Del Jesus Díaz,17,12
Olivier Salvado,16,12
Yiming Chen,38,27
Kalle Lyytinen,32,5
Anna Rita Fasolino,25,13
Lars Ramkilde Knudsen,20,14
Craig W Thompson,39,19
Richard Vidgen,21,9
Evangelos Triantaphyllou,28,15
Yufeng Zhai,11,7
